Entity,Code,Year,ny_gdp_pcap_pp_kd,time
Afghanistan,,,1516.2733,2021
Albania,ALB,2022,15492.067,2022
Algeria,DZA,2022,11198.233,2022
Angola,AGO,2022,5906.1157,2022
Antigua and Barbuda,ATG,2022,22321.87,2022
Argentina,ARG,2022,22461.441,2022
Armenia,ARM,2022,16057.007,2022
Australia,AUS,2022,51090.26,2022
Austria,AUT,2022,55867.184,2022
Azerbaijan,AZE,2022,15094.284,2022
Bahamas,BHS,2022,34663.496,2022
Bahrain,BHR,2022,51854.715,2022
Bangladesh,BGD,2022,6263.0044,2022
Barbados,BRB,2022,15417.297,2022
Belarus,BLR,2022,19092.111,2022
Belgium,BEL,2022,53287.152,2022
Belize,BLZ,2022,9473.706,2022
Benin,BEN,2022,3435.1716,2022
Bhutan,,,11595.684,2021
Bolivia,BOL,2022,8244.235,2022
Bosnia and Herzegovina,BIH,2022,16737.227,2022
Botswana,BWA,2022,15518.651,2022
Brazil,BRA,2022,15093.465,2022
Brunei,BRN,2022,58669.902,2022
Bulgaria,BGR,2022,26961.291,2022
Burkina Faso,BFA,2022,2158.8584,2022
Burundi,BDI,2022,708.1783,2022
Cambodia,KHM,2022,4533.8643,2022
Cameroon,CMR,2022,3723.5322,2022
Canada,CAN,2022,49296.38,2022
Cape Verde,CPV,2022,7379.2476,2022
Central African Republic,CAF,2022,823.9822,2022
Chad,TCD,2022,1412.6708,2022
Chile,CHL,2022,25886.121,2022
China,CHN,2022,18187.842,2022
Colombia,COL,2022,15616.752,2022
Comoros,COM,2022,3245.7688,2022
Congo,COG,2022,3670.1997,2022
Costa Rica,CRI,2022,22070.922,2022
Cote d'Ivoire,CIV,2022,5537.3696,2022
Croatia,HRV,2022,34302.348,2022
Cyprus,CYP,2022,44996.316,2022
Czechia,CZE,2022,41052.348,2022
Democratic Republic of Congo,COD,2022,1132.6542,2022
Denmark,DNK,2022,59935.12,2022
Djibouti,DJI,2022,4989.4087,2022
Dominica,DMA,2022,11463.598,2022
Dominican Republic,DOM,2022,19338.016,2022
East Timor,TLS,2022,3943.0925,2022
Ecuador,ECU,2022,10859.218,2022
Egypt,EGY,2022,12780.76,2022
El Salvador,SLV,2022,9396.014,2022
Equatorial Guinea,GNQ,2022,14918.297,2022
Estonia,EST,2022,37711.82,2022
Eswatini,SWZ,2022,9058.583,2022
Ethiopia,ETH,2022,2381.1658,2022
Fiji,FJI,2022,12388.108,2022
Finland,FIN,2022,49275.152,2022
France,FRA,2022,45904.41,2022
Gabon,GAB,2022,13939.787,2022
Gambia,GMB,2022,2113.6147,2022
Georgia,GEO,2022,17078.342,2022
Germany,DEU,2022,53969.625,2022
Ghana,GHA,2022,5480.33,2022
Greece,GRC,2022,31704.426,2022
Grenada,GRD,2022,14462.937,2022
Guatemala,GTM,2022,9162.053,2022
Guinea,GIN,2022,2699.129,2022
Guinea-Bissau,GNB,2022,1855.1119,2022
Guyana,GUY,2022,35634.688,2022
Haiti,HTI,2022,2799.1125,2022
Honduras,HND,2022,5709.124,2022
Hungary,HUN,2022,35356.777,2022
Iceland,ISL,2022,55567.438,2022
India,IND,2022,7112.0396,2022
Indonesia,IDN,2022,12409.759,2022
Iran,IRN,2022,15461.079,2022
Iraq,IRQ,2022,9199.0205,2022
Ireland,IRL,2022,112445.42,2022
Israel,ISR,2022,44393.3,2022
Italy,ITA,2022,44292.19,2022
Jamaica,JAM,2022,10107.865,2022
Japan,JPN,2022,41837.91,2022
Jordan,JOR,2022,9490.667,2022
Kazakhstan,KAZ,2022,26093.295,2022
Kenya,KEN,2022,4881.5317,2022
Kiribati,KIR,2022,2002.7183,2022
Kosovo,OWID_KOS,2022,12675.068,2022
Kuwait,KWT,2022,49400.355,2022
Kyrgyzstan,KGZ,2022,5070.1504,2022
Laos,LAO,2022,7947.6587,2022
Latvia,LVA,2022,32992.383,2022
Lebanon,,,12986.913,2021
Lesotho,LSO,2022,2240.3394,2022
Liberia,LBR,2022,1460.9233,2022
Libya,LBY,2022,19796.588,2022
Lithuania,LTU,2022,39955.246,2022
Luxembourg,LUX,2022,117746.99,2022
Madagascar,MDG,2022,1502.4822,2022
Malawi,MWI,2022,1466.8794,2022
Malaysia,MYS,2022,28383.62,2022
Maldives,MDV,2022,21271.318,2022
Mali,MLI,2022,2132.6233,2022
Malta,MLT,2022,48641.85,2022
Marshall Islands,MHL,2022,6004.343,2022
Mauritania,MRT,2022,5330.2144,2022
Mauritius,MUS,2022,22841.35,2022
Mexico,MEX,2022,20254.781,2022
Micronesia (country),FSM,2022,3263.6653,2022
Moldova,MDA,2022,13308.417,2022
Mongolia,MNG,2022,12073.245,2022
Montenegro,MNE,2022,22108.73,2022
Morocco,MAR,2022,8083.365,2022
Mozambique,MOZ,2022,1250.7725,2022
Myanmar,MMR,2022,4249.876,2022
Namibia,NAM,2022,9762.777,2022
Nauru,NRU,2022,11024.343,2022
Nepal,NPL,2022,4001.7,2022
Netherlands,NLD,2022,59249.168,2022
New Zealand,NZL,2022,45185.312,2022
Nicaragua,NIC,2022,5822.3535,2022
Niger,NER,2022,1274.6417,2022
Nigeria,NGA,2022,4963.16,2022
North Macedonia,MKD,2022,17128.76,2022
Norway,NOR,2022,67296.16,2022
Oman,OMN,2022,35336.895,2022
Pakistan,PAK,2022,5376.967,2022
Palau,,,14112.668,2021
Palestine,PSE,2022,5722.409,2022
Panama,PAN,2022,33266.477,2022
Papua New Guinea,PNG,2022,3752.945,2022
Paraguay,PRY,2022,13531.396,2022
Peru,PER,2022,12743.942,2022
Philippines,PHL,2022,8581.9375,2022
Poland,POL,2022,37706.605,2022
Portugal,PRT,2022,35767.723,2022
Puerto Rico,PRI,2022,34297.934,2022
Qatar,QAT,2022,96557.81,2022
Romania,ROU,2022,32495.908,2022
Russia,RUS,2022,27450.45,2022
Rwanda,RWA,2022,2364.802,2022
Saint Kitts and Nevis,KNA,2022,28770.139,2022
Saint Lucia,LCA,2022,15100.286,2022
Saint Vincent and the Grenadines,VCT,2022,14572.607,2022
Samoa,WSM,2022,5155.62,2022
San Marino,,,61609.01,2021
Sao Tome and Principe,STP,2022,3438.8599,2022
Saudi Arabia,SAU,2022,50188.297,2022
Senegal,SEN,2022,3564.6282,2022
Serbia,SRB,2022,20885.889,2022
Seychelles,SYC,2022,25205.736,2022
Sierra Leone,SLE,2022,1634.7638,2022
Singapore,SGP,2022,108036.11,2022
Slovakia,SVK,2022,33176.184,2022
Slovenia,SVN,2022,41015.227,2022
Solomon Islands,SLB,2022,2247.785,2022
Somalia,SOM,2022,1448.5568,2022
South Africa,ZAF,2022,13478.754,2022
South Korea,KOR,2022,45560.125,2022
Spain,ESP,2022,40223.01,2022
Sri Lanka,LKA,2022,12200.138,2022
Sudan,SDN,2022,3570.6074,2022
Suriname,SUR,2022,15047.614,2022
Sweden,SWE,2022,55359.344,2022
Switzerland,CHE,2022,72278.21,2022
Tajikistan,TJK,2022,4137.278,2022
Tanzania,TZA,2022,2623.8616,2022
Thailand,THA,2022,17507.621,2022
Togo,TGO,2022,2202.7268,2022
Tonga,,,6142.9634,2021
Trinidad and Tobago,TTO,2022,23295.547,2022
Tunisia,TUN,2022,10569.051,2022
Turkey,TUR,2022,33149.5,2022
Turkmenistan,TKM,2022,14740.01,2022
Tuvalu,TUV,2022,4591.3306,2022
Uganda,UGA,2022,2280.0737,2022
Ukraine,UKR,2022,10731.44,2022
United Arab Emirates,ARE,2022,74917.67,2022
United Kingdom,GBR,2022,47587.168,2022
United States,USA,2022,64623.125,2022
Uruguay,URY,2022,24426.66,2022
Uzbekistan,UZB,2022,8073.2104,2022
Vanuatu,VUT,2022,2785.9038,2022
Vietnam,VNM,2022,11396.531,2022
Zambia,ZMB,2022,3365.8738,2022
Zimbabwe,ZWE,2022,2207.957,2022
