Entity,Code,Year,corruption_vdem__estimate_best__aggregate_method_average,time
Afghanistan,AFG,2022,0.44,2022
Albania,ALB,2022,0.558,2022
Algeria,DZA,2022,0.672,2022
Angola,AGO,2022,0.497,2022
Argentina,ARG,2022,0.471,2022
Armenia,ARM,2022,0.326,2022
Australia,AUS,2022,0.031,2022
Austria,AUT,2022,0.125,2022
Azerbaijan,AZE,2022,0.915,2022
Bahrain,BHR,2022,0.706,2022
Bangladesh,BGD,2022,0.918,2022
Barbados,BRB,2022,0.067,2022
Belarus,BLR,2022,0.413,2022
Belgium,BEL,2022,0.031,2022
Benin,BEN,2022,0.195,2022
Bhutan,BTN,2022,0.128,2022
Bolivia,BOL,2022,0.665,2022
Bosnia and Herzegovina,BIH,2022,0.754,2022
Botswana,BWA,2022,0.278,2022
Brazil,BRA,2022,0.547,2022
Bulgaria,BGR,2022,0.304,2022
Burkina Faso,BFA,2022,0.432,2022
Burundi,BDI,2022,0.72,2022
Cambodia,KHM,2022,0.895,2022
Cameroon,CMR,2022,0.929,2022
Canada,CAN,2022,0.027,2022
Cape Verde,CPV,2022,0.254,2022
Central African Republic,CAF,2022,0.828,2022
Chad,TCD,2022,0.959,2022
Chile,CHL,2022,0.065,2022
China,CHN,2022,0.465,2022
Colombia,COL,2022,0.395,2022
Comoros,COM,2022,0.78,2022
Congo,COG,2022,0.844,2022
Costa Rica,CRI,2022,0.19,2022
Cote d'Ivoire,CIV,2022,0.597,2022
Croatia,HRV,2022,0.252,2022
Cuba,CUB,2022,0.581,2022
Cyprus,CYP,2022,0.202,2022
Czechia,CZE,2022,0.162,2022
Democratic Republic of Congo,COD,2022,0.95,2022
Denmark,DNK,2022,0.002,2022
Djibouti,DJI,2022,0.685,2022
Dominican Republic,DOM,2022,0.625,2022
East Timor,TLS,2022,0.258,2022
Ecuador,ECU,2022,0.624,2022
Egypt,EGY,2022,0.716,2022
El Salvador,SLV,2022,0.75,2022
Equatorial Guinea,GNQ,2022,0.857,2022
Eritrea,ERI,2022,0.704,2022
Estonia,EST,2022,0.038,2022
Eswatini,SWZ,2022,0.567,2022
Ethiopia,ETH,2022,0.571,2022
Fiji,FJI,2022,0.355,2022
Finland,FIN,2022,0.011,2022
France,FRA,2022,0.049,2022
Gabon,GAB,2022,0.825,2022
Gambia,GMB,2022,0.273,2022
Georgia,GEO,2022,0.147,2022
Germany,DEU,2022,0.019,2022
Ghana,GHA,2022,0.641,2022
Greece,GRC,2022,0.265,2022
Guatemala,GTM,2022,0.764,2022
Guinea,GIN,2022,0.719,2022
Guinea-Bissau,GNB,2022,0.819,2022
Guyana,GUY,2022,0.418,2022
Haiti,HTI,2022,0.833,2022
Honduras,HND,2022,0.772,2022
Hungary,HUN,2022,0.514,2022
Iceland,ISL,2022,0.025,2022
India,IND,2022,0.688,2022
Indonesia,IDN,2022,0.739,2022
Iran,IRN,2022,0.775,2022
Iraq,IRQ,2022,0.854,2022
Ireland,IRL,2022,0.032,2022
Israel,ISR,2022,0.127,2022
Italy,ITA,2022,0.15,2022
Jamaica,JAM,2022,0.163,2022
Japan,JPN,2022,0.062,2022
Jordan,JOR,2022,0.492,2022
Kazakhstan,KAZ,2022,0.678,2022
Kenya,KEN,2022,0.535,2022
Kosovo,OWID_KOS,2022,0.307,2022
Kuwait,KWT,2022,0.314,2022
Kyrgyzstan,KGZ,2022,0.803,2022
Laos,LAO,2022,0.733,2022
Latvia,LVA,2022,0.088,2022
Lebanon,LBN,2022,0.779,2022
Lesotho,LSO,2022,0.518,2022
Liberia,LBR,2022,0.867,2022
Libya,LBY,2022,0.782,2022
Lithuania,LTU,2022,0.107,2022
Luxembourg,LUX,2022,0.026,2022
Madagascar,MDG,2022,0.811,2022
Malawi,MWI,2022,0.686,2022
Malaysia,MYS,2022,0.37,2022
Maldives,MDV,2022,0.473,2022
Mali,MLI,2022,0.823,2022
Malta,MLT,2022,0.192,2022
Mauritania,MRT,2022,0.831,2022
Mauritius,MUS,2022,0.49,2022
Mexico,MEX,2022,0.554,2022
Moldova,MDA,2022,0.22,2022
Mongolia,MNG,2022,0.756,2022
Montenegro,MNE,2022,0.531,2022
Morocco,MAR,2022,0.627,2022
Mozambique,MOZ,2022,0.601,2022
Myanmar,MMR,2022,0.767,2022
Namibia,NAM,2022,0.334,2022
Nepal,NPL,2022,0.614,2022
Netherlands,NLD,2022,0.02,2022
New Zealand,NZL,2022,0.008,2022
Nicaragua,NIC,2022,0.933,2022
Niger,NER,2022,0.59,2022
Nigeria,NGA,2022,0.928,2022
North Korea,PRK,2022,0.665,2022
North Macedonia,MKD,2022,0.721,2022
Norway,NOR,2022,0.01,2022
Oman,OMN,2022,0.257,2022
Pakistan,PAK,2022,0.886,2022
Panama,PAN,2022,0.48,2022
Papua New Guinea,PNG,2022,0.73,2022
Paraguay,PRY,2022,0.776,2022
Peru,PER,2022,0.628,2022
Philippines,PHL,2022,0.781,2022
Poland,POL,2022,0.142,2022
Portugal,PRT,2022,0.146,2022
Qatar,QAT,2022,0.376,2022
Romania,ROU,2022,0.328,2022
Russia,RUS,2022,0.741,2022
Rwanda,RWA,2022,0.391,2022
Sao Tome and Principe,STP,2022,0.281,2022
Saudi Arabia,SAU,2022,0.323,2022
Senegal,SEN,2022,0.341,2022
Serbia,SRB,2022,0.669,2022
Seychelles,SYC,2022,0.089,2022
Sierra Leone,SLE,2022,0.46,2022
Singapore,SGP,2022,0.007,2022
Slovakia,SVK,2022,0.209,2022
Slovenia,SVN,2022,0.102,2022
Solomon Islands,SLB,2022,0.643,2022
Somalia,SOM,2022,0.904,2022
South Africa,ZAF,2022,0.431,2022
South Korea,KOR,2022,0.126,2022
South Sudan,SSD,2022,0.813,2022
Spain,ESP,2022,0.052,2022
Sri Lanka,LKA,2022,0.553,2022
Sudan,SDN,2022,0.705,2022
