Sigla;Código;Município;pib
AC;1200013;Acrelândia;186127,7364
AC;1200054;Assis Brasil;62512,96495
AC;1200104;Brasiléia;320059,8826
AC;1200138;Bujari;140429,6368
AC;1200179;Capixaba;239170,1151
AC;1200203;Cruzeiro do Sul;960983,4899
AC;1200252;Epitaciolândia;300876,9038
AC;1200302;Feijó;264698,4053
AC;1200328;Jordão;53204,36079
AC;1200336;Mâncio Lima;125666,8563
AC;1200344;Manoel Urbano;86314,53501
AC;1200351;Marechal Thaumaturgo;119906,4544
AC;1200385;Plácido de Castro;280771,0471
AC;1200393;Porto Walter;74938,90818
AC;1200401;Rio Branco;5114188,949
AC;1200427;Rodrigues Alves;119338,8167
AC;1200435;Santa Rosa do Purus;50669,59721
AC;1200450;Senador Guiomard;363956,5728
AC;1200500;Sena Madureira;349215,7322
AC;1200609;Tarauacá;332312,6403
AC;1200708;Xapuri;212388,4473
AC;1200807;Porto Acre;220013,2775
AL;2700102;Água Branca;94600,8312
AL;2700201;Anadia;116915,1532
AL;2700300;Arapiraca;2761602,981
AL;2700409;Atalaia;700371,5156
AL;2700508;Barra de Santo Antônio;122305,8438
AL;2700607;Barra de São Miguel;111301,3288
AL;2700706;Batalha;107334,4004
AL;2700805;Belém;89308,63696
AL;2700904;Belo Monte;70668,5551
AL;2701001;Boca da Mata;236217,559
AL;2701100;Branquinha;361967,0402
AL;2701209;Cacimbinhas;65568,21865
AL;2701308;Cajueiro;97034,76441
AL;2701357;Campestre;40966,5409
AL;2701407;Campo Alegre;342939,0414
AL;2701506;Campo Grande;49534,78869
AL;2701605;Canapi;77711,74348
AL;2701704;Capela;115759,3384
AL;2701803;Carneiros;42374,43168
AL;2701902;Chã Preta;81911,14185
AL;2702009;Coité do Nóia;98722,27276
AL;2702108;Colônia Leopoldina;185494,7457
AL;2702207;Coqueiro Seco;44830,30483
AL;2702306;Coruripe;832056,9183
AL;2702355;Craíbas;224395,1976
AL;2702405;Delmiro Gouveia;314534,7515
AL;2702504;Dois Riachos;49130,53358
AL;2702553;Estrela de Alagoas;72041,90214
AL;2702603;Feira Grande;199581,1225
AL;2702702;Feliz Deserto;76567,132
AL;2702801;Flexeiras;138998,8725
AL;2702900;Girau do Ponciano;256521,342
AL;2703007;Ibateguara;91710,36047
AL;2703106;Igaci;145603,7288
AL;2703205;Igreja Nova;266928,3437
AL;2703304;Inhapi;81570,37253
AL;2703403;Jacaré dos Homens;34982,53826
AL;2703502;Jacuípe;90800,55306
AL;2703601;Japaratinga;117626,1007
AL;2703700;Jaramataia;36355,8853
AL;2703759;Jequiá da Praia;178315,2496
AL;2703809;Joaquim Gomes;243185,5914
AL;2703908;Jundiá;25574,97096
AL;2704005;Junqueiro;256755,2125
AL;2704104;Lagoa da Canoa;127445,8589
AL;2704203;Limoeiro de Anadia;319822,2777
AL;2704302;Maceió;12829739,01
AL;2704401;Major Isidoro;132304,856
AL;2704500;Maragogi;522278,4662
AL;2704609;Maravilha;42358,09343
AL;2704708;Marechal Deodoro;1591571,517
AL;2704807;Maribondo;87751,36785
AL;2704906;Mar Vermelho;23779,16331
AL;2705002;Mata Grande;165527,0639
AL;2705101;Matriz de Camaragibe;180125,0615
AL;2705200;Messias;103206,4236
AL;2705309;Minador do Negrão;34777,14305
AL;2705408;Monteirópolis;37802,52109
AL;2705507;Murici;274533,1013
AL;2705606;Novo Lino;87398,46154
AL;2705705;Olho d'Água das Flores;126866,551
AL;2705804;Olho d'Água do Casado;43381,80181
AL;2705903;Olho d'Água Grande;32483,25203
AL;2706000;Olivença;50808,70578
AL;2706109;Ouro Branco;51558,39829
AL;2706208;Palestina;21431,58946
AL;2706307;Palmeira dos Índios;551522,5425
AL;2706406;Pão de Açúcar;124448,9561
AL;2706422;Pariconha;67678,65441
AL;2706448;Paripueira;110541,8333
AL;2706505;Passo de Camaragibe;157462,968
AL;2706604;Paulo Jacinto;51288,11687
AL;2706703;Penedo;459268,8183
AL;2706802;Piaçabuçu;213975,5921
AL;2706901;Pilar;315611,2091
AL;2707008;Pindoba;27744,22443
AL;2707107;Piranhas;160590,11
AL;2707206;Poço das Trincheiras;58631,46234
AL;2707305;Porto Calvo;192720,9226
AL;2707404;Porto de Pedras;155539,2552
AL;2707503;Porto Real do Colégio;125509,0754
AL;2707602;Quebrangulo;88250,38484
AL;2707701;Rio Largo;664224,2931
AL;2707800;Roteiro;95285,6375
AL;2707909;Santa Luzia do Norte;129485,3399
AL;2708006;Santana do Ipanema;301689,1485
AL;2708105;Santana do Mundaú;657527,4758
AL;2708204;São Brás;60368,45226
AL;2708303;São José da Laje;274466,3478
AL;2708402;São José da Tapera;155348,331
AL;2708501;São Luís do Quitunde;440505,4993
AL;2708600;São Miguel dos Campos;640895,132
AL;2708709;São Miguel dos Milagres;113652,6371
AL;2708808;São Sebastião;400892,2328
AL;2708907;Satuba;121821,2979
AL;2708956;Senador Rui Palmeira;56562,57243
AL;2709004;Tanque d'Arca;43019,09255
AL;2709103;Taquarana;238447,0306
AL;2709152;Teotônio Vilela;633772,1196
AL;2709202;Traipu;138618,4245
AL;2709301;União dos Palmares;661013,5926
AL;2709400;Viçosa;277340,0135
AM;1300029;Alvarães;101452,6286
AM;1300060;Amaturá;55490,31609
AM;1300086;Anamã;64699,02348
AM;1300102;Anori;115971,2689
